sentiment	tweet
1	Knocking out the cup could be a great psychological boost in the title race
1	I'm hoping he will start today cause he's been fantastic
1	I think overall he's been a fantastic signing for us
1	I know he's the best player
1	We are playing some fantastic football
1	This time we are playing fantastic in the cup
1	Looking forward to tonight Hope and get a chance to impress
1	Happy Birthday to at  a legendary symbol & a champion to admire
1	continues tribute to He became part of our football family after settling in these parts as manager of
1	rising star Top lad too
1	highly-rated highly rated
1	We won this time and I hope it will continue
1	Top of the league
1	good cross from him great determination
1	Win Against will seal our 100th CL win Yet Another Historic moment Awaits Well done so lets win
1	I love when we win top teams so let's hope that we win again
1	Boss backs his players
1	can score goals The boy is a finisher
1	he is a great finisher
1	he is such a good player he will be missed and we will miss him
1	awesome we score again
1	he is very important because he can score goals
1	I thought played extremely well yesterday
1	They want him so bad
1	Not a bad draw for them
-1	the center of midfield wasn't great
-1	The number of passes made which reached a player tonight Embarrassing
-1	is a dirty Scouse bastard Can we look at that instead of wanking on about the penalty
-1	you dirty little man
-1	kicks the shit out of
-1	could indecently assault an elderly lady at old trafford and still nothing will be made of it
-1	Jammy bastards talk about luck deserting again eh The ref biased a dirty bastard too
-1	is a scouse cheating twat in every possible way
-1	How has  not been sent off  The ball was long gone
-1	How is even still on the field for  He's been utter shite Can only seem to pass to a opposing player
-1	Is really a footballer
-1	is a waste period
-1	produce countless unforced errors
-1	you bellend Offside
-1	Finishing needs work Especially
-1	bad performance in this first half
-1	Did nothing except scoring
-1	I think has issues probably with his girlfriend or something He lacks concentration on the pitch Awful performance today
-1	Very strange performance from The things he was bad at passing control he's done well His best asset (finishing) atrocious
-1	all wasteful
-1	Poor performance were all underwhelming for most of the game Esp
-1	is having a fucking nightmare all he needs is a red card to top off his performance
-1	blatantly kicked
-1	Poor performance from united miss big time Lacking a leader
-1	overall were poor can't see them going far on that performance badly missed
-1	bad performance from united in 1st half I hope be better in 2nd half what happened
-1	is such a stupid ass why not play earlier & take out He can even 10 men  IS A FOOL
-1	Crazy Penalty Awarded
-1	He dived
-1	Referee in the game had an absolute mare
-1	He was horrible
-1	He's doubtful
-1	Been revealed that he is Doubtful For Saturday
-1	They have a lot of average players
-1	Far too much dead wood
-1	We have a predictable midfield
-1	We don't use the ball both well enough or quick enough
-1	I think he is one who is not good enough
-1	he's a rare breed of useless
-1	It's sad
-1	It's sad but I can't see any of the young players from today who will make it
-1	The problem is we picked so many average players to start today
-1	His flicks and passes were useless
-1	It was a fairly unexciting debut
-1	Bit disappointed with him tonight if I'm honest
-1	I think he was given shit instructions
-1	He is shit
-1	It was one of those poor overall team performances
-1	His inability
-1	That is ludicrous
-1	didn't have a good game
-1	He didn't do what he was told
-1	poor game from him too much pressure on the lad to perform not ready
-1	we have too many average midfielders
-1	agree we flopped at Euro's but players must shoulder some blame amongst others were so bad was let down
-1	there wasn't a leader
-1	I disagree He is not a top player
-1	Too many players aren't good enough
-1	that was slightly annoying about tonight
-1	it doesn't make any sense
-1	Unfortunately
-1	He struggles to beat his man
-1	His crossing of late has been dreadful as well
-1	Tonight's showing was abysmal
-1	if it is lack of motivation
-1	we lack creativity in the middle
-1	not really that good enough
-1	which is a shame
-1	has impacted massively on our peformances
-1	This is a disappointing time for us
-1	Such a lack of determination
-1	He did everything wrong today
-1	You taking the piss or are you actually that simple
-1	Fuck off you arrogant prick
-1	but he was quite frankly shit
-1	his final ball at times was very poor
-1	He must take a bit of a blame
-1	Two poor games in a row
-1	He was poor hasn't delivered in a few months now
-1	Seemed to lack the intensity
-1	that miss is awful
-1	he was frustrating
-1	I really don't like these slumps of form
-1	there is a lot of inexperience of our right-backs
-1	He is much slower
-1	He has lost much pace
-1	his pace is gone
-1	Horrible injury
-1	we have had so many injuries
-1	that injury was horrible
-1	abysmal injury record
-1	pretty dull game
-1	I am so bored
-1	this game is so boring
-1	we've played some poor football
-1	a very stupid thing to do
-1	lacked creativity
-1	He went through the injuries
-1	he isn't sharp enough
-1	missed almost an entire season with a serious long-term illness
-1	Part of the problem
-1	He was a coward
-1	The assistant's in the game are shit
-1	Basically the ref bottled it today
-1	unable to play
-1	Many of us lack a proper understanding of football
-1	clouded some of our judgement
-1	We do have a few absolute ballbags in our ranks
-1	The level of negativity here has been astounding
-1	Spoilt beyond belief
-1	doom and gloom feckers after a couple of shitty results
-1	a few are spoilt by success
-1	fat Geordie bastard
-1	fans who booed their team off
-1	little enjoyment from the game
-1	we have a few spoilt pricks
-1	The atmosphere is appalling sometimes
-1	Definitely a lot of spoiled twats on here
-1	My main issue is with arrogant spoilt ungrateful fans
-1	playing shite
-1	they are as spoilt as us
-1	continuously booed their team off
-1	for falling short
-1	My gripe was with spoilt and unrealistic people
-1	who leave before the end are the worst
-1	talking bollocks as usual
-1	A bit of knee jerking going on
-1	It's sort of ruining it for me
-1	are generally deluded to fuck
-1	I was disappointed and frustrated too
-1	You pathetic sad twat
-1	A lot of us are complaining
-1	We have as big a percentage of tossers
-1	was a bit sloppy
-1	Below par
-1	for this negativity but fuck it
-1	The negativity here is stupid and retarded granted it was a poor performance
-1	That was the worst performance result in the
-1	probably even worse
-1	His form this season has been fairly worrying
-1	I was angry
-1	He was dire as well
-1	he is fucking apologising
-1	completely unbalanced side
-1	was really disappointing
-1	that was dire
-1	seem to have a slump
-1	it's annoying to lose
-1	the doom merchants are out in force
-1	absolute abortion of a team
-1	He is shit
-1	Awful month
-1	Awful week
-1	Awful game
-1	team has played poorly
-1	And it has been a rather poor week for the club
-1	frankly an embarassment
-1	WUM
-1	having an awful season
-1	missing a sitter
-1	missed a sitter
-1	worst mistake i've seen him make
-1	lack of reaction was terrible
-1	he has a big weakness
-1	worst individual performance
-1	had a fucking mare
-1	that was a terrible decision
-1	Players elbowing others and no cards given
-1	facepalm
-1	Shit decision
-1	Bollocks
-1	he has grown Tiresome
-1	ridiculous stuff
-1	He got at least one of the calls wrong
-1	Gets away with absolutely everything
-1	What an absolute joke of a decision
-1	he robs us
-1	He's so fucking consistently shit It's actually mind boggling
-1	mind boggling
-1	Idiot of a ref
-1	he gets demoted
-1	Hate the man with a passion Thoroughly incompetent
-1	one of the worst refereeing performances I've ever seen
-1	It genuinely bemuses me
-1	this shit will continue
-1	The fuckers should be forced
-1	if they can't then get demoted to lower leagues
-1	becoming a parody of a ref
-1	He is so bad I actually remember him being a terrible referee
-1	has made the officiating worse
-1	bad decision
-1	He's incompetent and inconsistent
-1	one of those players who is just so despicable
-1	and I hated it
-1	Pathetic
-1	is a huge twat
-1	that's a despicable reaction
-1	Pathetic stuff from
-1	is a fucking tool
-1	I fucking hate
-1	Pathetic from the interviewer as well
-1	ruined again
-1	what a fucking cheat
-1	It's shocking stuff
-1	typical cheating
-1	what an utter cnut
-1	You know what's even worse
-1	and seen this terrible decision
-1	Fuck off you fool twat
-1	He should fuck off
-1	such a joke twat
-1	terrible decisions
-1	It killed the game
-1	buzzkill
-1	this has killed the game
-1	joke fool fucking asshole
-1	whinging diving cheat
-1	dives diving
-1	is tragic
-1	Don't recall ever behaving like a bad-tempered little brat Why he's not suspended
-1	He is absolute dogshit
-1	is beyond me
-1	He was demoted
-1	was among the worst i've seen
-1	He's a poor referee
-1	That incompetent twat
-1	struggling offensively looks clueless at times make too many mistakes bad passes
-1	I was rather shocked
-1	his fault
-1	He's just a very bad referee
-1	incompetent people
-1	IMO it was shocking
-1	Far more annoying
-1	He's having a run of poor form
-1	He has the wrong attitude
-1	Slightly overrated
-1	When he's bad he can be bad
-1	he wasnt as good as
-1	fat useless scouse twat
-1	his injury
-1	Now bad is shocking+ we have no cm
-1	that bastard is horrible
-1	He's been below his best
-1	had bad injury problems
-1	terrible injury
-1	this is part of his problem
-1	constantly moaning and threatening to leave
-1	does everything wrong
-1	shower of shites
-1	thought he was poor today
-1	a bit frustrating
-1	he's angry and pissed
-1	Shit first touch
-1	his crossing is terrible
-1	him starting is a bad sign
-1	I can't believe he's starting he is terrible
-1	We lose games when he is in the starting lineup
-1	bad season for him
-1	bad he was really bad
-1	such a bad season
-1	his crossing is so bad
-1	his crossing has deteriorated
-1	he is a horrible player
-1	bad player bad attitude
-1	why has his crossing been so bad
-1	money grabbing prostitue shagging fat scouse cunt
-1	absurd suggestion
-1	just awful
-1	I don't think is world class
-1	Sure hope doesn't mess up
-1	IMO the team is playing horribly at the moment
-1	this is the last time he should play for us
-1	he's been terrible in the last couple of games
-1	fuck off you arrogant fucking bastard
-1	Starting XI for Cunt Cunt Cunt Cunt Cunt Cunt Cunt Cunt Cunt Fat Cunt Cuntarito Ref
-1	that bastard can't do anything right
-1	has suffered suspected ankle ligament damage
-1	Bad news for has suffered suspected ankle ligament damage
-1	horrible news for us
-1	I hate those kind of news magnificent
-1	latest news confirms his injury
-1	those news suck
-1	that damage is horrible
-1	so much damage been done recently
-1	dive was even worse than yesterday That's how bad it was
-1	not happy with the refs today
-1	That's rubbish
-1	So much negativity Football would be a tad boring
-1	What a shitty draw
-1	All I know is that he doesn't know shit about football
-1	torn ligaments in his ankle and will be out for three to four weeks Doesn't sound so bad
-1	Striker problems already at
-1	That's bad news for the kids
-1	Knowing are going to win the league is bad but knowing they'll knock us out of the FA cup is worse
-1	too bad he twisted his ankles
-1	should look to retire in my opinion He is slower than ever and making mistakes weekly it seems
-1	I hate when it takes them so long to make the draw in the FA Cup
-1	I haven't got a clue why he uses him he is useless
-1	we're fucked in the league arrogant bastards
-1	not happy with that you all are fools
-1	kept the ball too long too bad
-1	must be very furious with FA cup draw
-1	no one gives a shit about u muppet
-1	one of the most shitty results ever we're shit
-1	why do we always get the tough draws
-1	small club mentality that
-1	he's garbage hope he doesn't start
-1	what was he thinking when he picked this side to face them
-1	I'm sure he will fuck up somehow shit player
-1	this has been the most shit performance in the league with this lineup don't know what happened
-1	very tough game for us don't see us winning this one
-1	I thought he was very poor today
-1	I hate his fucking face
-1	times are bad for us these days you're right about that
-1	He is old useless and shit he should retire
-1	totally ineffective players aren't just tidy
-1	Shame not starting
-1	Could he be more shit
-1	manager shit players shit team shit stadium shit referee shit every one was shit
-1	he is too young and had an awful time
-1	have failed to score for 485 minutes in all competitons
-1	worst player in the world
-1	Why would anyone sign that shit of a player
-1	That 6-1 defeat is a rare occurence It wont be that open the next time we meet them you're a fool if you think City will annihilate
-1	You know what's worse? If #MUFC fail to beat they could end up playing on thursdays
-1	horrible miss how did he miss that
-1	he never fucking scores
