country1	country2	distance
south georgia and south sandwich islands	jersey	7483.908428379385
martinique	svalbard	5098.51953900723
senegal	bassas da india	4386.409231781997
mali	sweden	3243.8693966774276
eritrea	paraguay	7053.571528161982
isle of man	greenland	1605.971739713344
argentina	singapore	10048.139957693751
papua new guinea	federated states of micronesia	834.6313544105556
india	singapore	2221.21896009705
burundi	ethiopia	967.1458245483394
haiti	federated states of micronesia	8990.508693540445
uganda	singapore	4889.54235062678
clipperton island	lithuania	7132.105531857386
bermuda	svalbard	3963.788230233005
burundi	lebanon	2607.377428234243
argentina	lithuania	8054.736672833695
poland	turkey	1144.4555090655228
saint martin	solomon islands	9528.89292178953
curaçao	lithuania	5637.8741338624695
guam	mongolia	3221.3371104784806
vatican city	aruba	5257.119850680556
germany	aruba	5135.9094089607115
tunisia	afghanistan	3240.6550047602677
french polynesia	jersey	9093.034265350498
mauritania	gibraltar	1185.2773148890042
malawi	aruba	7340.426601761627
estonia	paraguay	7363.4917670996165
belarus	turkey	1017.5289944777492
slovenia	turkey	1115.4595392136002
spain	ethiopia	3400.5374342620976
montserrat	lithuania	5117.939621006544
malawi	jersey	4860.485646706183
portugal	afghanistan	4031.2189111990588
norfolk island	singapore	4719.938952610101
indonesia	ethiopia	5721.592032838523
falkland islands	aruba	4486.161150572843
reunion	singapore	3605.79561914416
democratic republic of the congo	singapore	5444.768852995468
germany	solomon islands	8939.653499866105
bolivia	sweden	6935.627387998448
bermuda	turkey	5312.2416472278655
czech republic	aruba	5338.09896176932
italy	lebanon	1386.8204552598784
north korea	bassas da india	7020.0351175912265
guinea	mongolia	6818.156132052482
taiwan	federated states of micronesia	2443.143627424027
turkmenistan	bassas da india	4440.572240083164
netherlands	mongolia	4133.168461800456
egypt	turkey	880.0387371827458
israel	solomon islands	8513.96251565821
british indian ocean territory	svalbard	6119.182255690317
north korea	afghanistan	3356.63408060342
chile	sweden	7904.300115901648
indonesia	slovakia	6956.375221265541
iraq	singapore	4437.952854595673
republic of the congo	jersey	3616.4184362103933
cote d'ivoire	french guiana	3308.0382025138038
bolivia	solomon islands	8970.430909998131
iran	lebanon	1002.5182378839268
taiwan	bassas da india	6297.082847265493
sri lanka	svalbard	5343.315295199945
glorioso islands	federated states of micronesia	7278.270747046727
us minor outlying islands	gibraltar	9165.554530379048
qatar	jersey	3270.2207252377666
albania	sweden	1465.7792678088413
south georgia and south sandwich islands	sweden	8553.919456039124
central african republic	slovakia	2880.221637462704
togo	paraguay	4533.341372499975
spain	mongolia	5057.196483193346
mozambique	federated states of micronesia	8096.434056611196
ukraine	lebanon	1066.2063572032566
bonaire	mongolia	8393.670086687507
costa rica	sweden	5897.3936305093075
montserrat	jersey	4006.2235769644585
saudi arabia	lithuania	2388.0487325562535
honduras	aruba	1122.6489867639314
kuwait	lebanon	761.4059656044542
trinidad and tobago	singapore	11087.382990406692
south georgia and south sandwich islands	turkey	7672.509979124307
costa rica	pitcairn islands	3936.694746463575
grenada	pitcairn islands	5272.721744056823
ireland	bassas da india	5879.734357552777
barbados	federated states of micronesia	9935.325908461844
west bank	lebanon	153.49072385336132
vietnam	ethiopia	4732.265071026643
palau	bassas da india	6645.127375717568
belarus	paraguay	7314.202252149271
cuba	paraguay	3428.793588214166
san marino	mongolia	4251.996330849795
haiti	aruba	477.7074792274988
juan de nova island	solomon islands	7754.582595211342
uganda	paraguay	6335.707427595247
kosovo	sweden	1363.9306189703418
saint lucia	federated states of micronesia	9827.061587641003
cayman islands	jersey	4696.725155681334
western sahara	federated states of micronesia	10146.523358842003
macedonia	ethiopia	2533.716786288816
palau	jersey	7800.39084507093
taiwan	singapore	1941.3850851228233
sierra leone	bassas da india	4039.825156667035
israel	jersey	2261.6036797502497
czech republic	bassas da india	5145.206500142861
madagascar	bassas da india	481.78459080940706
serbia	lebanon	1059.7003907849728
djibouti	ethiopia	390.31430264948796
peru	afghanistan	9548.331233651796
uganda	ethiopia	538.6913468781594
croatia	solomon islands	9071.60052533064
bulgaria	afghanistan	2311.25389387628
burkina faso	solomon islands	11101.189810293386
albania	pitcairn islands	10400.403944493655
clipperton island	afghanistan	9429.636779795374
germany	lebanon	1757.0386728713127
china	sweden	4116.100711121814
indonesia	lebanon	6077.521700737982
mali	french guiana	3436.687961653811
west bank	svalbard	3235.281468776436
morocco	turkey	2277.5965302645573
cyprus	svalbard	2996.259956513226
monaco	turkey	1454.8571214936271
samoa	ethiopia	10352.216443803165
anguilla	greenland	3829.86923084668
sri lanka	jersey	5542.202703067904
marshall islands	lebanon	8029.900333471128
egypt	sweden	2514.960288519411
british virgin islands	slovakia	4996.7203834530055
guinea	slovakia	3106.8238547533547
brazil	slovakia	6046.430154979396
gabon	lebanon	2869.9621244874747
south africa	aruba	6999.8013036445855
el salvador	mongolia	8212.631819202958
guernsey	mongolia	4530.845238783905
sierra leone	turkey	3557.7094778609653
norway	singapore	6258.160432721462
hungary	gibraltar	1500.4177239117698
united kingdom	paraguay	6210.280720668123
papua new guinea	greenland	7866.706099214715
bhutan	bassas da india	4788.9016942343
christmas island	lebanon	5501.459842696582
mayotte	slovakia	4530.2714616558715
saudi arabia	jersey	3019.9806170120396
croatia	lithuania	834.8135399872103
ecuador	pitcairn islands	3843.24191176389
monaco	singapore	6472.052852732383
liberia	mongolia	7034.865854394168
united states	lithuania	5013.2400470394205
madagascar	jersey	5651.2319872010485
armenia	federated states of micronesia	6882.994083571442
saint pierre and miquelon	gibraltar	2689.7239965071053
montenegro	lithuania	955.9842759001382
guadeloupe	ethiopia	6691.9191889184685
belarus	singapore	5555.629635043443
iraq	lithuania	1854.8903220723707
italy	gibraltar	1071.4830777494594
turkmenistan	svalbard	2856.6400232556903
grenada	mongolia	8336.518394574068
senegal	solomon islands	11806.682322526465
guatemala	gibraltar	5312.804524528687
uruguay	sweden	7645.345844902276
coral sea islands	slovakia	8984.040912469709
jamaica	pitcairn islands	4633.174388011016
vietnam	french guiana	10524.5111206356
macedonia	singapore	5733.6243090238795
comoros	gibraltar	4643.479891403307
timor-leste	lithuania	7177.170658271461
norfolk island	slovakia	10289.814502169584
latvia	mongolia	3317.240454844031
guam	bassas da india	7507.043739088815
bhutan	svalbard	4084.896282771992
british indian ocean territory	lebanon	3627.5875485935862
united arab emirates	federated states of micronesia	6579.9609773302855
china	bassas da india	5785.1474389591085
american samoa	sweden	9134.077097456451
grenada	ethiopia	6747.92443676477
kenya	lithuania	3879.8323956403246
georgia	turkey	494.378480956305
saint barthelemy	afghanistan	7562.486435962955
argentina	svalbard	8424.87797147041
taiwan	lithuania	5115.756713919333
mayotte	aruba	8076.733019772834
norway	gibraltar	1906.2717273231242
bahrain	turkey	1276.442392449149
guinea	bassas da india	4047.086997331051
ecuador	bassas da india	7901.778550814077
argentina	slovakia	7667.383908050224
brazil	gibraltar	4534.810392633574
germany	greenland	2067.7236204559686
morocco	aruba	4303.635570845006
guernsey	sweden	1083.3654833497985
marshall islands	singapore	4379.253191959108
nicaragua	french guiana	2270.4561822241594
finland	solomon islands	7939.295667914926
bhutan	jersey	4915.62298954045
peru	slovakia	6986.153959758336
vatican city	svalbard	2503.265372213655
south korea	french guiana	9603.774781308599
tunisia	lebanon	1534.1441915207345
saudi arabia	greenland	4474.77374331038
kyrgyzstan	ethiopia	3213.799259424504
us minor outlying islands	lithuania	8147.218153361751
bonaire	greenland	4294.65411585025
martinique	solomon islands	9691.977807111307
chad	lithuania	2845.2023565677378
wallis and futuna	french guiana	8512.58361730135
belize	afghanistan	8585.348621625804
colombia	afghanistan	8686.003595035929
italy	pitcairn islands	10011.14202923424
bolivia	mongolia	10352.153573672445
tanzania	pitcairn islands	10068.139679168187
chad	solomon islands	9689.828263307007
portugal	aruba	4183.301442951335
slovenia	pitcairn islands	10030.021536660275
french southern and antarctic lands	french guiana	7901.028609258864
bangladesh	jersey	5070.42311170102
qatar	bassas da india	3332.8740399577396
south georgia and south sandwich islands	greenland	8850.407214134479
swaziland	ethiopia	2423.245833223145
estonia	bassas da india	5610.952013931664
guernsey	aruba	4564.8470799402085
macau	lebanon	4702.912475704567
cayman islands	lithuania	5649.243044105799
brunei	jersey	7153.522101808858
cote d'ivoire	slovakia	3150.8509586607706
united arab emirates	jersey	3465.678983617327
saint martin	gibraltar	3704.831190110172
turks and caicos islands	turkey	6105.444990358874
yemen	french guiana	6840.6452336294515
jamaica	paraguay	3139.057584821782
bulgaria	slovakia	472.3690055956864
argentina	solomon islands	8395.271534377363
mozambique	afghanistan	4089.781568753136
finland	singapore	5765.913546032925
nepal	bassas da india	4516.180997578766
sint maarten	lebanon	6019.394477662159
sao tome and principe	paraguay	4665.789329005161
czech republic	svalbard	1956.1547323246982
ecuador	lebanon	7626.4841339288105
kuwait	slovakia	1991.5696444385626
sint maarten	pitcairn islands	5401.651151513678
timor-leste	pitcairn islands	6829.475401779435
uzbekistan	solomon islands	6850.3860648395175
liberia	svalbard	5051.45441069295
fiji	solomon islands	1451.8778701109836
thailand	aruba	10416.554055585057
uruguay	mongolia	11089.32294469147
latvia	afghanistan	2537.5235197138622
eritrea	mongolia	4330.1628291968
nepal	svalbard	3961.6463131354226
angola	greenland	6409.325758802254
nepal	ethiopia	3297.3350373067947
central african republic	mongolia	5583.3153433787
croatia	french guiana	4982.107876974263
togo	aruba	4833.441749795321
kuwait	aruba	7377.48093184455
thailand	slovakia	5013.716427311238
nauru	svalbard	6948.162473745551
bangladesh	aruba	9575.00733489006
democratic republic of the congo	gibraltar	3165.585730862234
el salvador	gibraltar	5304.297315075921
kyrgyzstan	singapore	3275.339605541755
uruguay	afghanistan	9121.527970931016
gaza strip	lithuania	1770.742656691293
estonia	gibraltar	2114.717007277319
bermuda	slovakia	4337.209088901316
cocos (keeling) islands	singapore	1039.9868641978176
malawi	afghanistan	3844.1201742227704
laos	mongolia	1934.6102093731147
tromelin island	lithuania	5270.346788486309
trinidad and tobago	french guiana	730.6441064959581
morocco	paraguay	5165.42247538244
europa island	slovakia	5072.218656484098
trinidad and tobago	svalbard	5346.0989758237865
south georgia and south sandwich islands	slovakia	7837.486329226064
ireland	singapore	7033.233778803908
montenegro	jersey	1125.126953246634
suriname	jersey	4428.454423231858
hong kong	solomon islands	3684.414007978857
belarus	svalbard	1738.7019927734354
ukraine	slovakia	568.3319132164675
togo	turkey	2995.7060087927225
taiwan	jersey	6289.829215722053
albania	lebanon	997.8186983775674
belarus	pitcairn islands	10196.87775250506
india	turkey	2818.9181817114304
grenada	turkey	6039.0336013233355
senegal	afghanistan	5123.476605647043
denmark	slovakia	645.0184611592822
guinea	turkey	3364.623369168928
monaco	slovakia	670.4414016800289
iraq	mongolia	3289.24928591986
comoros	svalbard	6300.90625054469
mali	bassas da india	3974.8376645472413
russia	lithuania	2640.9533038492186
croatia	jersey	870.7908194001017
martinique	sweden	4872.64340529755
palau	french guiana	11593.784561403283
italy	lithuania	1036.058602888493
turkmenistan	afghanistan	587.0022280042124
faroe islands	turkey	2358.9875168523754
spain	federated states of micronesia	8973.564429575812
guadeloupe	jersey	4004.8052523615693
angola	bassas da india	1528.2593717167406
falkland islands	svalbard	9539.709508026004
jordan	gibraltar	2388.8339956458976
saudi arabia	bassas da india	3226.7442021538545
south sudan	pitcairn islands	10673.221446238998
tokelau	svalbard	7651.1170187116995
falkland islands	lithuania	8814.903627628797
belize	jersey	5172.349060605525
pakistan	aruba	8472.62198996206
russia	afghanistan	2417.1313016003296
san marino	lithuania	976.9493125386498
serbia	pitcairn islands	10353.913738150379
germany	sweden	744.7955090761939
el salvador	sweden	5815.988931130383
bolivia	paraguay	614.7863283572481
djibouti	gibraltar	3424.1596594566354
ascension	mongolia	7994.5497077616765
djibouti	greenland	5303.169691314855
west bank	mongolia	3757.9398849732224
united arab emirates	french guiana	7169.9942084154845
albania	aruba	5652.637897763276
bahrain	lebanon	1030.0266131657895
cocos (keeling) islands	jersey	7246.62633008523
norfolk island	lebanon	9619.550309595017
palau	greenland	7040.696198337284
bosnia and herzegovina	greenland	2667.248443725031
cyprus	singapore	5082.562743977002
french polynesia	solomon islands	4146.720396509902
poland	pitcairn islands	10005.803210210075
clipperton island	lebanon	8621.912702745787
bolivia	jersey	5967.465629003723
cote d'ivoire	lithuania	3672.4085318188722
laos	solomon islands	4097.104164621897
saint barthelemy	lebanon	6012.363284381976
kuwait	gibraltar	3079.3073528687873
kosovo	solomon islands	8947.2792560275
curaçao	gibraltar	4260.297230467366
china	paraguay	11119.658010894484
reunion	lebanon	4012.320388464603
cape verde	federated states of micronesia	10960.268789878972
faroe islands	singapore	6796.865722750204
burkina faso	lebanon	2773.30206835658
guatemala	greenland	4394.617918461676
portugal	solomon islands	10116.21144131387
senegal	turkey	3429.6574693410066
british virgin islands	jersey	4019.134592851539
kuwait	french guiana	6724.895651295042
latvia	aruba	5680.378202141969
spain	paraguay	5568.441940723145
ascension	pitcairn islands	7742.809952102101
israel	paraguay	7184.8265752851
haiti	slovakia	5325.759402781097
el salvador	lithuania	6270.678691778218
comoros	pitcairn islands	9836.194117041785
guatemala	federated states of micronesia	7950.366468581763
togo	greenland	4748.940283241469
burundi	solomon islands	8833.271749119183
slovenia	jersey	826.8903781131822
cyprus	bassas da india	3922.7063063728324
moldova	aruba	6002.4621213886085
tokelau	aruba	7140.279130822479
trinidad and tobago	lithuania	5396.888278870733
azerbaijan	mongolia	2855.208927910668
luxembourg	bassas da india	5329.305211311854
luxembourg	greenland	2087.545258894302
morocco	singapore	7262.007910249878
niue	lithuania	9782.873330441229
seychelles	afghanistan	2683.5318196880494
jordan	greenland	3894.3911260020177
greece	federated states of micronesia	8034.300130833071
poland	singapore	5880.430285801969
tonga	slovakia	10298.661052975012
sri lanka	french guiana	9174.8163243242
monaco	jersey	589.6293025441008
nepal	slovakia	3653.274428859849
bangladesh	solomon islands	5145.990065554846
burundi	sweden	4594.7978614558415
saint barthelemy	slovakia	4951.31761507006
djibouti	lebanon	1599.4460388304553
west bank	singapore	4913.535760595267
ukraine	pitcairn islands	10521.69346878728
peru	mongolia	9948.72228013701
niue	jersey	10243.14016650568
barbados	ethiopia	6593.8965669875115
saint lucia	solomon islands	9698.628801390636
chile	turkey	8288.531046127691
guatemala	sweden	5754.300705605339
ecuador	lithuania	6775.841820372455
guernsey	singapore	6862.333829749568
mayotte	gibraltar	4719.083310400286
reunion	jersey	6008.861455288005
nauru	bassas da india	8569.71258361115
jamaica	french guiana	1926.314027056464
cuba	svalbard	4867.724253387907
yemen	federated states of micronesia	7084.588502132815
morocco	pitcairn islands	9104.811251879171
greece	french guiana	5240.3612379337865
georgia	afghanistan	1375.4493969473833
denmark	gibraltar	1549.4652555044968
saudi arabia	mongolia	3577.0896527737914
timor-leste	aruba	11340.277859302996
angola	aruba	6302.880546194684
tokelau	singapore	5854.601795864424
heard island and mcdonald islands	lebanon	6401.742165275256
china	gibraltar	5789.4134692362295
czech republic	jersey	767.5430154335237
western sahara	greenland	3403.8159021926926
belize	bassas da india	9077.924098195195
burkina faso	gibraltar	1611.8527968833807
kuwait	jersey	2924.568357622991
nauru	french guiana	9671.092702966103
isle of man	aruba	4535.1425712312775
mauritania	french guiana	2971.1717731862254
croatia	svalbard	2271.857949492587
cocos (keeling) islands	afghanistan	3714.4906033170937
tanzania	gibraltar	3910.575898621157
sri lanka	aruba	10030.414800120556
barbados	afghanistan	7636.215064497086
peru	gibraltar	5577.667276951621
uzbekistan	french guiana	7382.9189638596745
tuvalu	turkey	9301.94795097221
bonaire	ethiopia	7183.716126060972
china	pitcairn islands	9111.846243096546
togo	svalbard	4882.865407340829
indonesia	svalbard	6699.441883056144
guinea	ethiopia	3274.35172077352
czech republic	slovakia	216.43681234581754
ukraine	paraguay	7402.905050768038
mali	turkey	2788.3371800457317
san marino	jersey	779.0363843279938
seychelles	gibraltar	4832.4877084864665
egypt	ethiopia	1413.474064079745
europa island	mongolia	6210.749570199009
heard island and mcdonald islands	bassas da india	2801.426180143355
puerto rico	turkey	6014.79248125676
niue	slovakia	10323.625514056264
saint barthelemy	lithuania	5077.56833346363
azerbaijan	solomon islands	7703.307088848825
kosovo	ethiopia	2603.399403755043
cuba	singapore	10807.02836752436
cyprus	ethiopia	1892.2564030372146
croatia	lebanon	1331.0343817149433
french polynesia	slovakia	9836.203591396106
bahamas	singapore	10684.06375467426
ashmore and cartier islands	mongolia	4194.315514379132
democratic republic of the congo	slovakia	3378.5385270036663
reunion	solomon islands	6870.587163841841
falkland islands	jersey	7738.747616397106
bahrain	singapore	3925.056509064741
montenegro	bassas da india	4603.841016456111
glorioso islands	pitcairn islands	9904.359890826177
estonia	svalbard	1319.8855287382803
new caledonia	mongolia	6002.033831451439
saint barthelemy	gibraltar	3698.7204118614777
french polynesia	singapore	7989.054669076006
serbia	afghanistan	2514.765818003122
western sahara	french guiana	2995.582109174422
tuvalu	solomon islands	1299.878786957293
bahamas	turkey	6206.110420250582
kyrgyzstan	gibraltar	4195.5474862650135
italy	aruba	5271.6304778070735
argentina	french guiana	2721.7581738003873
morocco	sweden	2255.651184869278
tonga	turkey	10225.349010116104
juan de nova island	bassas da india	359.69591561305424
mali	svalbard	4292.076153975808
french southern and antarctic lands	mongolia	6576.141283973954
united arab emirates	solomon islands	7386.257892104632
norway	solomon islands	8389.644132633963
vanuatu	jersey	10061.360476527416
mauritius	bassas da india	1156.5900392307499
fiji	bassas da india	8515.421186867025
ascension	sweden	5503.419839285558
serbia	sweden	1267.163778019746
guinea	lebanon	3288.4959919495586
saint pierre and miquelon	slovakia	3374.0757160570433
martinique	slovakia	5030.553861172295
new caledonia	afghanistan	7543.023017337398
vatican city	gibraltar	1032.774417765896
somalia	gibraltar	3954.9925094501828
guernsey	lithuania	1177.1741260898712
cape verde	aruba	3081.864341337868
israel	ethiopia	1637.1202759203368
croatia	singapore	6068.618333774485
indonesia	aruba	11581.776827940888
west bank	ethiopia	1644.7522495036183
colombia	pitcairn islands	4379.675214894348
vietnam	afghanistan	2850.2256419605856
thailand	bassas da india	4798.529955740681
uganda	solomon islands	8699.79018902427
india	lebanon	2689.019808172942
guatemala	ethiopia	8540.81574741972
kenya	ethiopia	483.65255234327867
tunisia	lithuania	1679.1185659805565
bangladesh	greenland	5399.555566683604
denmark	solomon islands	8716.774942842025
mayotte	afghanistan	3452.0928652828984
iran	singapore	3920.167246877616
grenada	svalbard	5280.205777872257
slovenia	ethiopia	2969.255511808405
chad	ethiopia	1373.2659327768667
tajikistan	mongolia	1783.213058507626
libya	singapore	5978.1175091847845
bulgaria	lebanon	861.7213664629735
british virgin islands	pitcairn islands	5338.553036869854
liberia	greenland	4708.569940153271
guernsey	turkey	1955.108271726774
cocos (keeling) islands	federated states of micronesia	3967.3992358303285
bolivia	pitcairn islands	4197.572806380485
qatar	singapore	3870.400133064556
reunion	slovakia	5309.674735423188
china	turkey	3778.476683075574
uzbekistan	singapore	3729.945258278287
albania	bassas da india	4494.127965057176
liberia	bassas da india	3850.746743720567
chad	jersey	2647.7259947640123
us minor outlying islands	slovakia	8666.695961729649
burkina faso	singapore	7259.059416031146
saudi arabia	afghanistan	1380.8182800728641
kenya	federated states of micronesia	7863.071709209739
maldives	solomon islands	5975.958807395533
gabon	svalbard	5467.038416845815
kyrgyzstan	french guiana	7924.479779315534
angola	svalbard	6253.211940212941
cote d'ivoire	afghanistan	4818.960112281172
burundi	turkey	2957.158873916018
curaçao	solomon islands	9162.788487860347
guadeloupe	greenland	3950.7421104677273
monaco	ethiopia	3081.139539373835
macau	slovakia	5259.343474524171
poland	sweden	715.5717749686014
united kingdom	lebanon	2374.964962551566
estonia	french guiana	5590.967016400409
cameroon	turkey	2694.3930175432056
american samoa	turkey	10154.18369981588
costa rica	federated states of micronesia	8445.958237290599
ghana	singapore	7285.210892207358
ireland	federated states of micronesia	8262.737218588594
tanzania	greenland	6297.059967327642
jamaica	singapore	11078.522562078935
british virgin islands	mongolia	7932.02397005625
mauritius	paraguay	7166.6640735339515
nicaragua	lebanon	7381.460344438701
cayman islands	federated states of micronesia	8478.477332036
mali	singapore	7363.6567289832265
belarus	solomon islands	8300.940844973624
united arab emirates	bassas da india	3281.903004627257
trinidad and tobago	afghanistan	7810.967368441427
tromelin island	slovakia	4947.166975694173
turkmenistan	sweden	2399.586532577388
libya	sweden	2558.1537038250412
mauritius	jersey	6034.661961418472
armenia	aruba	6920.995049416347
mali	pitcairn islands	8938.21576041703
nicaragua	svalbard	5551.745226093135
cocos (keeling) islands	lithuania	6261.645053225097
christmas island	mongolia	3903.9865216147195
comoros	ethiopia	1458.014345835142
isle of man	slovakia	1096.3403010161094
eritrea	afghanistan	2098.493518992373
albania	french guiana	5153.013747560193
anguilla	bassas da india	7463.288131622138
south africa	french guiana	5702.432816388196
tajikistan	pitcairn islands	10877.014222071144
cameroon	federated states of micronesia	9574.69018135496
yemen	mongolia	3903.9411243576
bonaire	lebanon	6535.035540522624
marshall islands	french guiana	9518.990497834853
saint pierre and miquelon	greenland	1816.6492198850488
spain	turkey	2058.050262837787
chad	pitcairn islands	10320.015388237529
montenegro	pitcairn islands	10325.036823307599
vietnam	svalbard	5095.342517741524
democratic republic of the congo	pitcairn islands	10035.564946484694
palau	pitcairn islands	6761.997489517
djibouti	bassas da india	2282.240417649106
gabon	turkey	3133.2032896397213
uganda	turkey	2563.36200759886
hungary	svalbard	2141.889874663091
central african republic	turkey	2378.3343167195744
pakistan	sweden	3286.8381182877074
cote d'ivoire	turkey	3271.656961165241
samoa	turkey	10036.050141709575
bangladesh	pitcairn islands	9924.486571100364
martinique	singapore	10917.610292563706
iran	mongolia	2897.5603534369952
uruguay	singapore	9888.347085945392
norway	federated states of micronesia	7389.726417514356
christmas island	greenland	7952.721443010709
south africa	svalbard	7466.174384820537
suriname	greenland	4749.195091884576
saint barthelemy	svalbard	4906.645881755207
kosovo	french guiana	5219.493153261792
puerto rico	jersey	4121.2788964886295
iran	french guiana	7000.245010174971
tanzania	lithuania	4329.4522176149385
clipperton island	turkey	8321.540859226432
malawi	gibraltar	4283.060342434723
ecuador	greenland	5373.45120884851
ireland	solomon islands	9242.968935034249
peru	svalbard	6980.218458514434
cyprus	french guiana	5833.736216008565
clipperton island	federated states of micronesia	6750.922927651461
canada	ethiopia	7110.388812679925
saudi arabia	french guiana	6600.392440311363
spain	lebanon	2222.297735760733
guinea	gibraltar	1760.7084536889467
isle of man	ethiopia	3962.4705103087745
cyprus	greenland	3573.4653320108137
marshall islands	bassas da india	8860.637721306364
cyprus	lithuania	1512.0305117453743
mauritania	bassas da india	4514.262837271324
mozambique	jersey	5187.214625472016
saint lucia	aruba	612.8790202917327
guatemala	afghanistan	8737.115425931317
switzerland	singapore	6422.187008407141
iraq	gibraltar	2786.064014888778
togo	lebanon	2836.874774760727
french polynesia	greenland	7416.225881759245
russia	jersey	3733.9597382809206
china	french guiana	9387.024898481255
tokelau	lebanon	9985.101615061878
palau	federated states of micronesia	1239.8156705283386
india	greenland	5447.709846554834
yemen	slovakia	2784.9461458029805
mali	federated states of micronesia	10201.809323681327
bangladesh	federated states of micronesia	4314.074573874902
french polynesia	paraguay	5320.8086811131325
kyrgyzstan	bassas da india	4870.861061910773
seychelles	sweden	5076.7372152898915
christmas island	slovakia	6588.768974299641
equatorial guinea	greenland	5292.724794358056
bhutan	mongolia	1503.9773802091597
moldova	bassas da india	4774.016049352966
cape verde	french guiana	2136.113382313143
sierra leone	gibraltar	1948.1493855156396
grenada	sweden	5048.700374207554
american samoa	bassas da india	9249.833444523749
central african republic	lebanon	2082.10289648761
bolivia	aruba	2066.257689045754
vanuatu	bassas da india	8029.234630595953
estonia	jersey	1309.8809202833922
bahrain	svalbard	3721.1459743255236
tromelin island	lebanon	3645.48214451957
united arab emirates	turkey	1525.6388731244865
italy	greenland	2654.426378557199
monaco	solomon islands	9432.686377768805
colombia	federated states of micronesia	9336.947946451464
french polynesia	svalbard	8030.279470346353
belarus	greenland	2347.923825199804
madagascar	ethiopia	2029.1042269505115
canada	mongolia	5017.55336987576
bonaire	solomon islands	9213.424996439628
georgia	federated states of micronesia	6921.145643385986
reunion	french guiana	7516.070275993178
kosovo	aruba	5685.002421186773
guinea	svalbard	4746.123116186017
honduras	gibraltar	5125.245129309616
peru	singapore	11840.116963955645
niue	turkey	10411.470770274022
ecuador	singapore	12336.90172666489
equatorial guinea	afghanistan	4201.589328882642
